id,session_id,tg_user_id,event_type,event_name,page,metadata,created_at,event_category,event_subtype,element_id,element_type,section,scroll_depth,time_spent,interaction_count,previous_event_id,step_number,completion_rate,error_message,custom_data
1,1,999999,click,test_button,/test,"{""test"": true}",2026-01-23 14:00:48,,,,,,,,,,,,,
2,2,999999,click,test_button,/test,"{""test"": true}",2026-01-23 14:55:25,,,,,,,,,,,,,
3,5,,visit,source_visit,,,2026-01-23 16:38:37,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""http://localhost:3000/""}"
4,5,,app,miniapp_open,,,2026-01-23 16:38:37,engagement,,,,,,,,,,,,"{""device"": ""mobile"", ""page_id"": ""main"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
5,5,,content,content_view,,,2026-01-23 16:38:38,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
6,5,,content,content_view,,,2026-01-23 16:38:38,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
7,5,,diagnostic,diagnostic_start,,,2026-01-23 16:38:38,,,,,,,,,,,,,
8,5,,diagnostic,diagnostic_start,,,2026-01-23 16:38:38,,,,,,,,,,,,,
9,5,,content,content_view,,,2026-01-23 16:38:43,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
10,5,,content,content_view,,,2026-01-23 16:39:33,engagement,,,,,0,55,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
11,5,,content,content_view,,,2026-01-23 16:40:09,engagement,,,,,0,91,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
12,5,,content,content_view,,,2026-01-23 16:41:58,engagement,,,,,0,200,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
13,6,,visit,source_visit,,,2026-01-23 16:43:45,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""http://localhost:3000/""}"
14,6,,app,miniapp_open,,,2026-01-23 16:43:45,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
15,6,,content,content_view,,,2026-01-23 16:43:45,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
16,6,,content,content_view,,,2026-01-23 16:43:46,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
17,6,,content,personal_path_view,,,2026-01-23 16:43:46,engagement,,,,,,0,,,,,,"{""open_time"": 1769186625508, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
18,6,,content,personal_path_view,,,2026-01-23 16:43:46,engagement,,,,,,0,,,,,,"{""open_time"": 1769186625508, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
19,6,,content,content_view,,,2026-01-23 16:43:50,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
20,6,,diagnostic,diagnostic_start,,,2026-01-23 16:44:03,,,,,,,,,,,,,
21,6,,diagnostic,diagnostic_start,,,2026-01-23 16:44:04,,,,,,,,,,,,,
22,6,,content,content_view,,,2026-01-23 16:44:34,engagement,,,,,0,48,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
23,7,,visit,source_visit,,,2026-01-23 16:45:17,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""http://localhost:3000/""}"
24,7,,app,miniapp_open,,,2026-01-23 16:45:17,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
25,7,,content,content_view,,,2026-01-23 16:45:18,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
26,7,,content,content_view,,,2026-01-23 16:45:18,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
27,7,,content,content_view,,,2026-01-23 16:45:22,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
28,7,,content,content_view,,,2026-01-23 16:45:33,engagement,,,,,0,15,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
29,8,,visit,source_visit,,,2026-01-23 16:46:10,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
30,8,,app,miniapp_open,,,2026-01-23 16:46:10,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
31,8,,content,content_view,,,2026-01-23 16:46:11,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
32,8,,content,content_view,,,2026-01-23 16:46:11,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
33,8,,content,content_view,,,2026-01-23 16:46:16,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
34,7,,content,content_view,,,2026-01-23 16:46:49,engagement,,,,,0,91,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
35,8,,content,content_view,,,2026-01-23 16:47:53,engagement,,,,,0,101,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
36,9,,visit,source_visit,,,2026-01-23 16:48:14,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
37,9,,app,miniapp_open,,,2026-01-23 16:48:14,engagement,,,,,,,,,,,,"{""device"": ""mobile"", ""page_id"": ""main"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
38,9,,content,content_view,,,2026-01-23 16:48:15,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
39,9,,content,content_view,,,2026-01-23 16:48:15,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
40,9,,content,personal_path_view,,,2026-01-23 16:48:15,engagement,,,,,,0,,,,,,"{""open_time"": 1769186894992, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
41,9,,content,personal_path_view,,,2026-01-23 16:48:15,engagement,,,,,,0,,,,,,"{""open_time"": 1769186894992, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
42,9,,content,content_view,,,2026-01-23 16:48:20,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
43,9,,content,content_view,,,2026-01-23 16:48:42,engagement,,,,,0,26,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
44,9,,content,content_view,,,2026-01-23 16:50:45,engagement,,,,,0,149,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
45,10,,visit,source_visit,,,2026-01-23 16:51:45,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
46,9,,content,content_view,,,2026-01-23 16:55:28,engagement,,,,,0,432,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
47,7,,content,content_view,,,2026-01-23 16:55:30,engagement,,,,,0,612,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
48,11,,visit,source_visit,,,2026-01-23 17:03:37,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
49,11,,app,miniapp_open,,,2026-01-23 17:03:37,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
50,11,,content,content_view,,,2026-01-23 17:03:38,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
51,11,,content,content_view,,,2026-01-23 17:03:38,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
52,11,,content,personal_path_view,,,2026-01-23 17:03:38,engagement,,,,,,0,,,,,,"{""open_time"": 1769187817892, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
53,11,,content,personal_path_view,,,2026-01-23 17:03:38,engagement,,,,,,0,,,,,,"{""open_time"": 1769187817892, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
54,11,,content,content_view,,,2026-01-23 17:03:43,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
55,7,,content,content_view,,,2026-01-23 17:04:21,engagement,,,,,0,1143,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
56,7,,content,content_view,,,2026-01-23 17:04:28,engagement,,,,,0,1150,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
57,12,,visit,source_visit,,,2026-01-23 17:04:54,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
58,12,,app,miniapp_open,,,2026-01-23 17:04:54,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
59,12,,content,content_view,,,2026-01-23 17:04:54,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
60,12,,content,content_view,,,2026-01-23 17:04:55,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
61,12,,content,personal_path_view,,,2026-01-23 17:04:55,engagement,,,,,,0,,,,,,"{""open_time"": 1769187894641, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
62,12,,content,personal_path_view,,,2026-01-23 17:04:55,engagement,,,,,,0,,,,,,"{""open_time"": 1769187894641, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
63,12,,content,content_view,,,2026-01-23 17:05:00,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
64,12,,content,content_view,,,2026-01-23 17:05:04,engagement,,,,,0,9,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""f0fe1a66-8cff-48b8-afd4-91c4799e8c3f""}"
65,13,,visit,source_visit,,,2026-01-23 17:05:58,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
66,13,,app,miniapp_open,,,2026-01-23 17:05:58,engagement,,,,,,,,,,,,"{""device"": ""mobile"", ""page_id"": ""main"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
67,13,,content,content_view,,,2026-01-23 17:05:58,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
68,13,,content,content_view,,,2026-01-23 17:05:59,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
69,13,,content,personal_path_view,,,2026-01-23 17:05:59,engagement,,,,,,0,,,,,,"{""open_time"": 1769187958583, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
70,13,,content,personal_path_view,,,2026-01-23 17:05:59,engagement,,,,,,0,,,,,,"{""open_time"": 1769187958583, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
71,13,,content,content_view,,,2026-01-23 17:06:03,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
72,14,,visit,source_visit,,,2026-01-23 17:06:51,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
73,14,,app,miniapp_open,,,2026-01-23 17:06:51,engagement,,,,,,,,,,,,"{""device"": ""mobile"", ""page_id"": ""main"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
74,14,,content,content_view,,,2026-01-23 17:06:52,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
75,14,,content,content_view,,,2026-01-23 17:06:52,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
76,14,,content,personal_path_view,,,2026-01-23 17:06:52,engagement,,,,,,0,,,,,,"{""open_time"": 1769188012117, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
77,14,,content,personal_path_view,,,2026-01-23 17:06:52,engagement,,,,,,0,,,,,,"{""open_time"": 1769188012117, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
78,14,,content,content_view,,,2026-01-23 17:06:58,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
79,14,,content,content_view,,,2026-01-23 17:07:01,engagement,,,,,0,8,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
80,12,,diagnostic,diagnostic_start,,,2026-01-23 17:07:05,,,,,,,,,,,,,
81,12,,diagnostic,diagnostic_start,,,2026-01-23 17:07:05,,,,,,,,,,,,,
